Modelo,Clasificador,TRTR_AUROC,TSTR_AUROC,ΔAUROC,TSTR_AUPRC,TSTR_F1
CTGAN,LogReg,0.8637602687645677,0.7729930042358912,-0.09076726452867645,0.36545724361651916,0.3993978926241846
CTGAN,RandomForest,0.8732850189927625,0.7942822094223319,-0.0790028095704306,0.3605224528946259,0.16180371352785147
CTGAN,XGBoost,0.8854810146922641,0.778182260942167,-0.10729875375009712,0.36952189757743464,0.409718387631143
CTGAN,MLP,0.868812442951308,0.7645808588074898,-0.10423158414381817,0.3475487035846877,0.4046806435884934
TVAE,LogReg,0.8637602687645677,0.8247269531567081,-0.03903331560785961,0.44266222329280663,0.48246844319775595
TVAE,RandomForest,0.8732850189927625,0.8457858928420561,-0.027499126150706377,0.45490184719083804,0.0406885758998435
TVAE,XGBoost,0.8854810146922641,0.8558703621794713,-0.029610652512792823,0.48641336986780853,0.4255725190839695
TVAE,MLP,0.868812442951308,0.8145029164202495,-0.05430952653105847,0.4388912800754791,0.4634146341463415
TabDDPM,LogReg,0.8637602687645677,0.8213951438828064,-0.04236512488176125,0.4313618459142373,0.00641025641025641
TabDDPM,RandomForest,0.8732850189927625,0.6995397589004242,-0.17374526009233826,0.2959082663604136,0.0
TabDDPM,XGBoost,0.8854810146922641,0.8026881426519629,-0.08279287204030128,0.42632646187846995,0.0
TabDDPM,MLP,0.868812442951308,0.7951146440575763,-0.07369779889373174,0.4082865452980432,0.012779552715654952
